hidden_channels,heads,dropout,lr,weight_decay,best_epoch,threshold,val_p1,val_r1,val_f1,val_acc,test_p1,test_r1,test_f1,test_acc,tn,fp,fn,tp
16,4,0.2,0.005,0.0005,75,0.13,0.14065934065934066,0.46545454545454545,0.2160337552742616,0.9067456334069464,0.12486992715920915,0.4838709677419355,0.19851116625310175,0.8786018541718867,6893,841,128,120
16,4,0.3,0.005,0.0005,25,0.34,0.14536082474226805,0.5127272727272727,0.22650602409638554,0.90333266412367,0.13344316309719934,0.32661290322580644,0.18947368421052632,0.9131796542219995,7208,526,167,81
16,4,0.4,0.005,0.001,20,0.36000000000000004,0.14196891191709846,0.49818181818181817,0.22096774193548388,0.9030315197751455,0.12300683371298406,0.43548387096774194,0.19182948490230906,0.8859934853420195,6964,770,140,108
8,4,0.3,0.005,0.001,45,0.4000000000000001,0.12509534706331046,0.5963636363636363,0.2068095838587642,0.8737201365187713,0.13615023474178403,0.5846774193548387,0.22086824067022087,0.8718366324229516,6814,920,103,145
8,2,0.3,0.005,0.001,135,0.39000000000000007,0.1448349307774228,0.49454545454545457,0.22405271828665568,0.9054406745633407,0.11643192488262911,0.5,0.18888042650418888,0.866574793284891,6793,941,124,124
16,2,0.3,0.005,0.001,95,0.4600000000000001,0.15541264737406216,0.5272727272727272,0.24006622516556292,0.9078498293515358,0.1550695825049702,0.31451612903225806,0.20772303595206393,0.9254572788774743,7309,425,170,78
32,2,0.4,0.003,0.001,35,0.39000000000000007,0.1337448559670782,0.4727272727272727,0.20850040096230954,0.9009235093354748,0.12912087912087913,0.5685483870967742,0.21044776119402986,0.8674517664745678,6783,951,107,141
32,4,0.4,0.003,0.002,35,0.43000000000000005,0.13986013986013987,0.509090909090909,0.219435736677116,0.9000200762899017,0.14171656686626746,0.2862903225806452,0.18958611481975968,0.9239538962665999,7304,430,177,71
