model,negative_ratio,train_precision_1,train_recall_1,train_f1_1,train_accuracy,test_precision_1,test_recall_1,test_f1_1,test_accuracy
GCN,2,0.16542532340258723,0.7714808043875686,0.2724338282763073,0.8605111702456835,0.1441717791411043,0.6225165562913907,0.23412204234122042,0.8647757255936676
GCN,3,0.19135135135135134,0.6471663619744058,0.295369211514393,0.8954762052107185,0.16427104722792607,0.5298013245033113,0.2507836990595611,0.8948988566402815
GCN,5,0.2402088772845953,0.33638025594149906,0.2802741812642803,0.9415186583328177,0.20588235294117646,0.32450331125827814,0.2519280205655527,0.9360158311345647
GCN,10,0.4153846153846154,0.04936014625228519,0.08823529411764706,0.9654681601584256,0.2653061224489796,0.08609271523178808,0.13,0.9617414248021108
GAT,2,0.11197916666666667,0.943327239488117,0.20019398642095054,0.7448480722817006,0.11074918566775244,0.9006622516556292,0.19724437998549674,0.7565963060686016
GAT,3,0.11589174184594032,0.9159049360146252,0.2057494866529774,0.7606287517791943,0.11652173913043479,0.8874172185430463,0.20599538816295157,0.7728671943711521
GAT,5,0.134979896611143,0.8592321755027422,0.2333085132787292,0.8088371805185964,0.1273957158962796,0.7483443708609272,0.21772639691714837,0.8214599824098505
GAT,10,0.17226277372262774,0.21572212065813529,0.19155844155844157,0.9383625224333189,0.19852941176470587,0.17880794701986755,0.18815331010452963,0.9487686895338611
